path_exists,path_length,height,total_cost,smoothness,max_step
True,207,0.2833930132553054,0.42287729158910287,0.19598785197444427,0.008416335329807574
True,299,0.2682443876470421,0.4082025255509176,0.1552315218508173,0.005382980795644476
True,258,0.2305440612488617,0.3910334752321024,0.13964633835005935,0.005382980795644476
True,123,0.2430910257123512,0.27048636785618946,0.034759103962153814,0.005827634780443847
True,129,0.057074926228952196,0.09517794826003628,0.04186651617515443,0.0027861139487665304
True,45,0.11463837335274149,0.11966128418329866,0.02202493837751665,0.009792304107917371
True,182,0.1809868173983397,0.32047109573213717,0.12431199724896091,0.00713334215649275
True,37,0.10797627282747321,0.13114403483558096,0.061413242791855324,0.022747852331380464
True,150,0.1809868173983397,0.22186924515436948,0.05494410924700294,0.00713334215649275
True,82,0.11127802316665505,0.12014985047634438,0.05321788150474012,0.005981544428516554
True,157,0.09614039016278206,0.10549706964693975,0.04694626522466613,0.0020355254851664242
True,107,0.05886377091740964,0.08832855868492209,0.033249050844460754,0.0028545842637978935
True,142,0.26797398636721104,0.27874975010136693,0.06424065008057649,0.00591748567864836
True,113,0.1557446719895378,0.18616007916919103,0.10904778745594113,0.022747852331380464
True,56,0.03201171591086635,0.0870162945447707,0.05973521472132717,0.02318364919479654
True,194,0.15966489959829772,0.3087799659836059,0.1946042972345964,0.017888865620669964
True,95,0.10797627282747321,0.13114403483558096,0.09132077663310034,0.022747852331380464
True,135,0.11635892784347449,0.1991890453942701,0.13110291919130293,0.017888865620669964
True,162,0.21038246868443894,0.23355023069254668,0.15008548712738887,0.022747852331380464
True,187,0.19523384307617564,0.21840160508428338,0.1515472794418982,0.022747852331380464
True,98,0.15753351667799523,0.1809957880078914,0.12454102481670301,0.022747852331380464
True,109,0.1831654755478456,0.19414684207754287,0.034544071714558255,0.0070661287556482155
True,312,0.22875521656040426,0.2992810142294489,0.1697541816640559,0.004045132561445813
True,142,0.0822409130079026,0.12300382888411149,0.06771378150542853,0.003207867380523949
True,90,0.12001987413050935,0.13044882767168292,0.05810636248451104,0.005819996917881931
True,228,0.1809868173983397,0.22186924515436948,0.1320772574909373,0.0063474556493886
True,132,0.11635892784347449,0.1991890453942701,0.11081496921583961,0.0234126324501423
True,250,0.2833930132553054,0.3242754410113352,0.187715605715552,0.007662924461391024
True,325,0.2682443876470421,0.30960067497314997,0.17565375835480934,0.004045132561445813
True,291,0.2305440612488617,0.2924316246543347,0.1712571501194734,0.004045132561445813
True,218,0.13202762042740585,0.16280299053021985,0.05216161774292316,0.0022545576379902066
True,123,0.0756424423000703,0.12477892471699842,0.05531283841424503,0.005189528364208204
True,118,0.21704456920970722,0.22311001882701761,0.07734349658613708,0.009316524540682075
True,174,0.2833930132553054,0.42287729158910287,0.09452708058677278,0.0063295790765302284
True,61,0.11127802316665505,0.12014985047634438,0.042251732676638495,0.008172214953338558
True,82,0.21038246868443894,0.2335502306925467,0.10414497614508812,0.022747852331380464
True,155,0.2833930132553054,0.3242754410113352,0.053561711874703405,0.0063295790765302284
True,100,0.07487353028415393,0.13459843496004456,0.0559435306500546,0.005189528364208204
True,103,0.0756424423000703,0.11787377533259558,0.0567588726090599,0.005189528364208204
True,168,0.3703801822241768,0.3811559459583327,0.08491003117488703,0.009224637791895945
True,19,0.041748226225791274,0.041748248912640375,0.007537979799366108,0.0038757538818827986
True,171,0.20189594360144392,0.20796139321875431,0.07078832741372909,0.009316524540682075
True,254,0.2682443876470421,0.4082025255509176,0.12279099117493944,0.00713334215649275
True,113,0.09614039016278206,0.10549706964693975,0.03363098784131595,0.00279424990482606
True,135,0.19523384307617564,0.21840160508428336,0.09758980697268013,0.022747852331380464
True,235,0.2682443876470421,0.30960067497314997,0.08182562246287006,0.00713334215649275
